,Pós-venda/Cancelado/Devolvido,Nº de Pedido da Plataforma,Custo Médio,SKU,SKU (Armazém)
1227,Cancelado,582645357809403696,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1228,Ocorreu,582645174839641471,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1229,Ocorreu,582645174839641471,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
1230,Cancelado,582645136414639344,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1231,Cancelado,582645129731147622,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1232,Cancelado,582645109848377133,10.0,ME-10-Corrida-35-40,ME-10-Corrida-35-40
1233,Ocorreu,582645111252682203,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1234,Ocorreu,582644961194378310,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1235,Ocorreu,582644940746228757,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1236,Ocorreu,582644968823162815,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1237,Ocorreu,582644980232652135,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
1238,Ocorreu,582644954901219103,10.0,ME-10-Coelho-35-40,ME-10-Coelho-35-40
